Date 29/10/25  Width 185.0 mm  Aspect Ratio 50.0  Diameter 14.0 inches  Volume  24.09 liters
29/10/25, 205.0, 60.0, 15.0, 39.92
29/10/25,  205, 60.0, 15.0, 39.92
29/10/25,  205,  60,  15, 39.92
30/10/25,  175,  65,  14, 29.35
30/10/25,  205,  60,  15, 39.92
30/10/25,  205,  60,  15, 39.92
30/10/25,  205,  60,  15, 39.92
30/10/25,  225,  65,  17, 59.76
01/11/25,  100,  10,  10, 0.83
01/11/25,  155,  55,  13, 17.25
01/11/25,  185,  60,  14, 30.10
01/11/25,  195,  65,  15, 39.43
01/11/25,  215,  70,  15, 54.03
01/11/25,  265,  70,  17, 95.33
2025-11-01,  265,  70,  17, 95.33
